user,case,time_interval_area_chart,time_interval_area_history,time_interval_area_library,time_interval_area_summarize,time_interval_evidence_all_actions,time_interval_linking_evidence,time_interval_adding_evidence,time_interval_unlinking_evidence,time_interval_lab_test,time_interval_categorize,time_interval_change_hypothesis,time_interval_prioritize,time_interval_delete_hypothesis,time_interval_select_hypothesis,time_interval_check_summary,time_interval_help,time_taken_to_solve_case_in_seconds,percentageofevidenceitemsandlabtestsmatcheswithexpertsolution,number_of_lab_tests_ordered,confidence_percentage,perceived_difficulty,correctness_diagnostic_is_correct_true_false,goal_orientation_m,goal_orientation_pp,goal_orientation_pa,feq_class,feedback_time_seconds,feedback_accepting,feedback_modifying_manipulating,feedback_rejecting,feedback_seeking,feedback_self_generating
BP15,Cynthia,381,620,59,435,351,188,163,0,261,83,139,120,0,9,435,15,1698,87,8,90,Good Review,1,1,1,1,Pride/Relief,90,0,0,0,10,0
BP15,Susan Taylor,384,472,110,261,194,60,134,0,134,39,95,64,0,19,261,0,,90,7,90,Challenging,1,1,1,1,Pride/Relief,,0,0,0,7,0
BP16,Amy,569,758,127,362,456,279,177,0,184,142,85,113,54,3,362,0,2071,37,5,90,Challenging,1,0,0,1,Shame/Relief,194,1,1,0,1,4
BP16,Cynthia,737,599,277,282,397,108,289,3,538,68,48,62,37,18,282,16,2052,75,15,70,Good Review,1,0,0,1,Pride,192,2,1,0,0,2
BP16,Susan Taylor,530,376,0,290,286,150,136,0,373,73,141,99,10,15,290,0,1368,90,7,100,Challenging,1,0,0,1,Pride,204,4,0,0,2,2
BP17,Amy,301,421,83,98,355,118,237,0,258,58,88,43,0,6,98,0,1004,31,8,92,Challenging,1,0,0,1,Pride/Relief,97,5,0,0,0,0
BP17,Cynthia,217,380,162,245,215,99,116,0,174,255,122,171,0,10,245,2,1430,37,7,90,Challenging,0,0,0,1,Pride/Relief,90,7,0,0,0,1
BP17,Susan Taylor,147,199,51,111,108,59,49,0,82,38,47,24,0,4,111,0,570,40,4,80,Difficult,0,0,0,1,Shame/Relief,67,3,0,0,0,0
BP18,Amy,613,1014,123,109,411,215,196,0,578,82,73,33,7,63,109,4,1974,25,20,81,Good Review,0,1,1,1,Pride,158,3,0,0,5,3
BP18,Cynthia,724,930,205,166,441,202,239,0,499,59,189,24,0,19,166,6,2108,62,19,73,Good Review,0,1,1,1,Shame/Relief,170,1,0,0,4,2
BP18,Susan Taylor,230,377,113,105,186,0,186,0,155,52,59,25,0,29,105,0,902,80,9,90,Good Review,1,1,1,1,Pride/Relief,191,3,0,0,3,3
BP20,Amy,269,449,145,3,339,222,117,0,146,71,17,78,0,16,3,3,1015,43,7,80,Good Review,1,1,1,1,Shame/Relief,205,1,0,0,0,1
BP20,Cynthia,288,411,57,228,225,101,124,0,185,76,92,68,0,6,228,4,1128,75,10,97,Too Easy,1,1,1,1,Shame/Relief,131,0,0,0,0,2
BP20,Susan Taylor,320,311,330,273,350,220,130,2,137,71,38,191,0,6,273,6,1496,50,6,95,Good Review,1,1,1,1,Pride/Relief,132,2,1,0,2,0
BP21,Amy,685,477,352,129,154,0,154,0,585,107,261,100,0,44,129,0,1850,43,21,95,Challenging,1,,,,Shame/Relief,196,2,2,0,0,0
BP21,Cynthia,729,424,153,108,212,0,212,0,521,162,218,52,0,13,108,0,1628,37,19,85,Difficult,1,,,,Shame/Relief,145,3,1,2,0,0
BP21,Susan Taylor,664,449,300,158,172,0,172,0,557,143,226,69,0,18,158,0,1783,80,11,95,Good Review,1,,,,Shame/Relief,202,4,1,0,0,0
BP22,Amy,142,206,32,146,164,45,119,3,57,43,22,50,4,6,146,33,640,37,2,85,Challenging,0,,,,Shame/Relief,139,1,0,0,0,0
BP22,Cynthia,1679,479,94,139,506,59,447,0,1394,119,33,73,5,3,139,2,2583,62,22,90,Good Review,1,,,,Shame/Relief,181,0,0,3,3,1
BP22,Susan Taylor,213,386,0,214,164,63,101,0,149,44,17,32,42,68,214,2,889,60,3,90,Good Review,1,,,,Pride,250,2,1,1,0,0
BP23,Amy,152,217,195,135,143,0,143,0,77,104,65,38,0,3,135,0,841,37,3,67,Good Review,1,,,,Shame/Relief,131,1,2,0,3,0
BP23,Cynthia,794,271,162,58,148,0,148,0,602,92,2,39,0,3,58,15,1416,25,18,42,Good Review,0,,,,Shame/Relief,128,0,3,2,1,1
BP23,Susan Taylor,115,126,69,72,84,0,84,0,73,62,23,35,0,5,72,0,479,70,3,90,Challenging,1,,,,Pride/Relief,106,1,0,1,0,0
BP24,Amy,503,454,57,198,157,0,157,0,400,141,28,78,0,7,198,3,1431,25,15,85,Challenging,1,,,,Shame/Relief,218,7,4,1,0,0
BP24,Cynthia,607,266,92,164,105,0,105,0,477,86,11,92,0,3,164,0,1307,62,17,90,Good Review,1,,,,Pride,127,2,2,0,1,0
BP24,Susan Taylor,319,282,0,200,181,0,181,0,310,108,21,99,0,8,200,6,1011,80,14,95,Challenging,1,,,,Shame/Relief,153,3,1,0,1,0
BP25,Amy,147,288,46,93,116,0,116,0,74,62,36,33,2,1,93,2,669,37,5,80,Challenging,1,,,,Shame/Relief,133,5,3,0,0,0
BP25,Cynthia,351,243,115,100,112,0,112,0,283,110,32,57,5,11,100,1,976,62,11,79,Challenging,1,,,,Shame/Relief,88,1,1,0,0,0
BP25,Susan Taylor,192,224,135,92,174,51,123,0,100,43,15,59,24,4,92,8,747,70,4,90,Good Review,1,,,,Pride,98,2,0,3,1,0
BP26,Amy,251,256,0,92,170,37,133,0,98,88,79,71,5,5,92,8,758,68,3,70,Difficult,1,,,,Shame/Relief,195,6,3,0,0,0
BP26,Cynthia,302,298,0,132,256,30,226,27,139,39,46,90,0,5,132,0,861,87,5,65,Good Review,1,,,,Pride,102,2,1,0,0,0
BP26,Susan Taylor,256,327,39,78,109,0,109,0,79,55,78,89,0,7,78,0,844,80,5,90,Challenging,1,,,,Shame/Relief,140,1,0,0,1,0
BP27,Amy,272,296,0,109,49,0,49,0,240,66,138,46,0,34,109,0,789,43,7,86,Good Review,1,,,,Pride,83,1,1,0,0,0
BP27,Cynthia,630,372,110,124,126,0,126,0,361,80,187,34,0,13,124,47,1352,50,12,70,Good Review,0,,,,Shame/Relief,124,1,0,0,0,0
BP27,Susan Taylor,469,194,93,104,72,0,72,0,290,50,155,48,0,7,104,0,958,80,12,85,Good Review,1,,,,Pride,93,0,0,0,0,0
BP28,Amy,1034,587,225,82,387,248,139,0,626,74,33,25,88,9,82,7,2027,37,19,90,Challenging,1,,,,Shame/Relief,97,2,0,0,2,0
BP28,Cynthia,1375,216,100,40,101,44,57,0,1249,47,25,17,0,7,40,0,1795,37,13,80,Good Review,0,,,,Shame/Relief,74,2,0,0,0,0
BP28,Susan Taylor,85,173,0,106,118,50,68,0,41,20,33,32,0,3,106,0,416,90,4,100,Challenging,1,,,,Pride,89,0,1,0,0,0
BP03,Amy,251,450,0,78,333,69,264,0,208,60,9,50,0,14,78,0,889,31,9,80,Good Review,1,1,1,1,Pride,95,5,0,0,0,0
BP03,Cynthia,221,301,13,61,186,55,131,0,139,85,4,75,0,16,61,15,756,62,8,80,Good Review,1,1,1,1,Pride,89,8,0,1,0,0
BP03,Susan Taylor,195,264,0,122,187,62,125,0,118,48,22,44,0,28,122,11,675,80,6,85,Good Review,1,1,1,1,Pride,86,3,0,0,0,0
BP30,Amy,290,251,80,56,204,57,147,0,171,27,20,18,0,5,56,2,722,12,7,83,Challenging,1,,,,Pride/Relief,63,2,0,0,0,0
BP30,Cynthia,621,220,251,10,123,15,108,0,307,16,51,9,8,47,10,2,1127,50,16,26,Good Review,0,,,,Shame/Relief,18,1,0,0,1,2
BP30,Susan Taylor,201,146,94,11,70,0,70,0,165,20,8,6,0,2,11,1,478,0,6,26,Good Review,0,,,,Shame/Relief,11,0,0,0,0,0
BP04,Amy,200,262,53,81,175,79,96,0,104,55,13,33,0,4,81,13,684,31,4,90,Good Review,1,,,,Pride,91,2,0,0,0,1
BP04,Cynthia,429,356,120,96,209,93,116,0,240,94,28,24,0,10,96,5,1121,50,15,63,Good Review,0,0,0,1,Shame/Relief,70,0,0,0,0,1
BP04,Susan Taylor,157,172,90,145,95,22,73,0,110,43,61,35,0,4,145,11,675,80,6,97,Good Review,1,0,0,1,Shame/Relief,194,2,2,2,2,4
BP05,Amy,195,191,29,3,75,0,75,0,81,127,30,39,18,23,3,3,587,50,3,100,Good Review,1,0,0,1,Shame/Relief,195,4,0,0,0,2
BP05,Cynthia,360,334,96,105,185,0,185,0,193,74,63,83,20,27,105,4,1052,50,8,80,Too Easy,1,1,1,1,Shame/Relief,142,2,0,0,0,2
BP05,Susan Taylor,106,173,46,97,47,0,47,0,34,25,21,64,6,9,97,0,511,70,2,90,Good Review,1,1,1,1,Pride,176,1,3,0,1,1
BP06,Amy,418,835,0,4,372,216,156,6,402,87,111,86,31,6,4,0,1430,18,10,70,Good Review,0,1,1,1,Shame/Relief,162,3,0,0,0,0
BP06,Cynthia,743,456,0,2,276,179,97,0,548,81,64,20,56,34,2,0,1302,12,26,84,Good Review,0,1,1,1,Shame/Relief,81,2,1,0,0,3
BP06,Susan Taylor,828,379,203,4,238,129,109,0,653,109,23,30,0,17,4,2,1553,80,39,70,Good Review,1,1,1,1,Pride/Relief,85,1,2,0,0,0
BP07,Amy,230,701,0,89,252,145,107,4,180,22,50,20,0,9,89,77,1602,25,4,80,Difficult,1,1,1,1,Pride/Relief,41,3,0,0,3,0
BP07,Cynthia,442,455,0,74,319,140,179,3,343,67,25,37,42,7,74,0,1075,25,8,83,Challenging,0,1,1,1,Shame/Relief,81,3,1,0,0,2
BP07,Susan Taylor,150,512,0,107,204,105,99,11,79,71,65,31,0,89,107,0,871,10,3,79,Good Review,1,1,1,1,Pride/Relief,130,2,4,0,0,0
BP08,Amy,562,394,333,195,149,0,149,0,459,176,81,133,0,9,195,0,1793,87,22,80,Good Review,1,0,0,1,Shame/Relief,218,1,0,0,0,0
BP08,Cynthia,448,292,114,227,207,0,207,0,324,187,53,111,4,6,227,0,1379,50,18,81,Good Review,0,0,0,1,Shame/Relief,105,1,0,0,0,0
BP08,Susan Taylor,264,344,194,153,162,0,162,0,180,259,136,185,0,19,153,0,1399,70,11,92,Good Review,1,0,0,1,Shame/Relief,263,0,0,0,2,0
BP09,Amy,317,586,962,91,289,130,159,0,110,53,37,37,0,39,91,5,2046,43,16,5,Challenging,0,1,1,1,Shame/Relief,193,1,0,0,0,0
BP09,Cynthia,190,567,0,67,301,132,169,2,141,70,33,71,0,12,67,6,965,37,7,69,Difficult,0,1,1,1,Shame/Relief,111,2,2,0,4,0
BP09,Susan Taylor,32,309,132,73,294,100,194,0,0,45,50,112,0,2,73,0,703,40,0,90,Too Easy,0,1,1,1,Shame/Relief,154,3,2,0,0,0
